"Timestamp","Sandford Hydro (KW)","1800TH (m3/s)","1502TH/U (mAOD)","1303TH/U (mAOD)","1303TH/D (mAOD)","1301TH/U (mAOD)","1301TH/D (mAOD)","1100TH (m3/s)"
"2022-03-13 13:30:00",344.8530851063829787,35.6280000000000000,53.9280000000000000,56.5620000000000000,54.9210000000000000,59.0420000000000000,58.3979999999999960,18.5500000000000000
"2022-03-13 13:15:00",345.0795833333333333,35.1020000000000000,53.9280000000000000,56.5760000000000000,54.9210000000000000,59.0420000000000000,58.3960000000000000,18.5610000000000000
"2022-03-13 13:00:00",345.2802295081967213,35.0450000000000000,53.9250000000000000,56.5640000000000000,54.9240000000000000,59.0430000000000000,58.3949999999999960,18.5050000000000000
"2022-03-13 12:45:00",345.9703934426229508,35.0650000000000000,53.9250000000000000,56.5640000000000000,54.9210000000000000,59.0430000000000000,58.3949999999999960,18.5630000000000000
"2022-03-13 12:30:00",346.1026500000000000,35.0330000000000000,53.9259999999999950,56.5630000000000000,54.9210000000000000,59.0450000000000000,58.3970000000000000,18.5830000000000000
"2022-03-13 12:15:00",346.2268032786885246,35.0900000000000000,53.9270000000000000,56.5700000000000000,54.9300000000000000,59.0450000000000000,58.3930000000000000,18.5610000000000000
"2022-03-13 12:00:00",345.8583333333333333,35.1650000000000000,53.9250000000000000,56.5660000000000000,54.9240000000000000,59.0440000000000000,58.3949999999999960,18.5540000000000000
"2022-03-13 11:45:00",345.8460983606557377,35.2910000000000000,53.9240000000000000,56.5670000000000000,54.9240000000000000,59.0390000000000000,58.3919999999999960,18.5590000000000000
"2022-03-13 11:30:00",346.0720166666666667,35.3190000000000000,53.9210000000000000,56.5650000000000000,54.9270000000000000,59.0390000000000000,58.3949999999999960,18.6420000000000000
"2022-03-13 11:15:00",345.8931639344262295,35.3840000000000000,53.9190000000000000,56.5730000000000000,54.9270000000000000,59.0420000000000000,58.3910000000000000,18.6440000000000000
"2022-03-13 11:00:00",345.3753278688524590,35.3240000000000000,53.9139999999999940,56.5650000000000000,54.9270000000000000,59.0440000000000000,58.3970000000000000,18.6030000000000000
"2022-03-13 10:45:00",345.1809666666666667,34.8680000000000000,53.9180000000000000,56.5770000000000000,54.9210000000000000,59.0410000000000000,58.3900000000000000,18.4810000000000000
"2022-03-13 10:30:00",345.0381147540983607,34.9330000000000000,53.9160000000000000,56.5770000000000000,54.9240000000000000,59.0430000000000000,58.3960000000000000,18.5290000000000000
"2022-03-13 10:15:00",345.1024827586206897,34.8730000000000000,53.9150000000000000,56.5780000000000000,54.9210000000000000,59.0440000000000000,58.3960000000000000,18.5470000000000000
"2022-03-13 10:00:00",345.3798688524590164,34.7630000000000000,53.9150000000000000,56.5820000000000000,54.9210000000000000,59.0400000000000000,58.3949999999999960,18.5670000000000000
"2022-03-13 09:45:00",345.0161000000000000,34.8170000000000000,53.9169999999999940,56.5870000000000000,54.9210000000000000,59.0450000000000000,58.3990000000000000,18.5420000000000000
"2022-03-13 09:30:00",345.2586557377049180,34.8620000000000000,53.9169999999999940,56.5790000000000000,54.9210000000000000,59.0440000000000000,58.3949999999999960,18.5820000000000000
"2022-03-13 09:15:00",345.3346885245901639,34.9290000000000000,53.9139999999999940,56.5750000000000000,54.9210000000000000,59.0400000000000000,58.3870000000000000,18.5980000000000000
"2022-03-13 09:00:00",345.7865666666666667,34.9080000000000000,53.9150000000000000,56.5740000000000000,54.9210000000000000,59.0430000000000000,58.3940000000000000,18.5510000000000000
"2022-03-13 08:45:00",346.4914918032786885,34.8970000000000000,53.9160000000000000,56.5760000000000000,54.9210000000000000,59.0410000000000000,58.3930000000000000,18.6480000000000000
"2022-03-13 08:30:00",346.6621500000000000,34.9770000000000000,53.9130000000000000,56.5760000000000000,54.9180000000000000,59.0430000000000000,58.3900000000000000,18.5770000000000000
"2022-03-13 08:15:00",346.5272459016393443,34.8110000000000000,53.9180000000000000,56.5770000000000000,54.9210000000000000,59.0410000000000000,58.3900000000000000,18.5550000000000000
"2022-03-13 08:00:00",346.7144482758620690,34.8890000000000000,53.9169999999999940,56.5770000000000000,54.9180000000000000,59.0400000000000000,58.3919999999999960,18.6080000000000000
"2022-03-13 07:45:00",346.7505901639344262,34.9230000000000000,53.9160000000000000,56.5760000000000000,54.9180000000000000,59.0420000000000000,58.3880000000000000,18.6620000000000000
"2022-03-13 07:30:00",346.6223278688524590,34.9950000000000000,53.9139999999999940,56.5770000000000000,54.9180000000000000,59.0430000000000000,58.3910000000000000,18.5820000000000000
"2022-03-13 07:15:00",346.9661000000000000,34.9520000000000000,53.9160000000000000,56.5770000000000000,54.9180000000000000,59.0390000000000000,58.3870000000000000,18.5240000000000000
"2022-03-13 07:00:00",347.0016065573770492,34.8830000000000000,53.9150000000000000,56.5770000000000000,54.9210000000000000,59.0410000000000000,58.3900000000000000,18.6160000000000000
"2022-03-13 06:45:00",346.9213166666666667,34.7170000000000000,53.9150000000000000,56.5760000000000000,54.9180000000000000,59.0400000000000000,58.3900000000000000,18.5920000000000000
"2022-03-13 06:30:00",347.2826557377049180,34.5920000000000000,53.9150000000000000,56.5750000000000000,54.9180000000000000,59.0420000000000000,58.3880000000000000,18.6370000000000000
"2022-03-13 06:15:00",347.4893050847457627,34.5980000000000000,53.9150000000000000,56.5730000000000000,54.9150000000000000,59.0430000000000000,58.3919999999999960,18.5660000000000000
"2022-03-13 06:00:00",347.3257666666666667,34.4930000000000000,53.9150000000000000,56.5730000000000000,54.9150000000000000,59.0420000000000000,58.3900000000000000,18.5270000000000000
